character,move,base_damage,damage,angle,bkb,kbg,launch_angle,hitstun
Bayonetta,Jab 1 (Hitbox 1),1.5,1.575,55,45,25,55,18
Bayonetta,Jab 1 (Hitbox 2),1.5,1.575,55,30,25,55,12
Bayonetta,Jab 1 (Hitbox 3),1.5,1.575,85,42,25,85,17
Bayonetta,Jab 2 (Hitbox 1),1.5,1.575,48,45,25,48,18
Bayonetta,Jab 2 (Hitbox 2),1.5,1.575,68,40,25,68,16
Bayonetta,Jab 2 (Hitbox 3),1.5,1.575,82,38,25,82,16
Bayonetta,Jab 2 (Hitbox 4),1.5,1.575,70,40,25,70,16
Bayonetta,Jab 3 (Hitbox 1),2.7,2.835,68,47,20,68,19
Bayonetta,Jab 3 (Hitbox 2),2.7,2.835,85,47,20,85,19
Bayonetta,Jab 3 (Hitbox 3),2.7,2.835,68,28,20,68,11
Bayonetta,Jab 3 (Hitbox 4),2.7,2.835,90,28,20,90,11
Bayonetta,Rapid Jab (Hitbox 1),0,0,90,35,100,90,17
Bayonetta,Rapid Jab (Hitbox 2),0,0,90,15,100,90,11
Bayonetta,Rapid Jab Finisher,6,6.3,55,70,90,55,34
Bayonetta,Dash Attack,10,10.5,50,85,55,50,39
Bayonetta,Dash Attack (Late),8,8.4,50,85,55,50,38
Bayonetta,Ftilt 1 (Hitbox 1),3.5,3.675,60,62,25,60,25
Bayonetta,Ftilt 1 (Hitbox 2),3.5,3.675,40,50,15,40,20
Bayonetta,Ftilt 1 (Hitbox 3),3.5,3.675,75,45,25,75,18
Bayonetta,Ftilt 1 (Hitbox 4),3.5,3.675,80,60,15,80,24
Bayonetta,Ftilt 1 (Hitbox 5),3.5,3.675,45,56,25,45,23
Bayonetta,Ftilt 2 (Hitbox 1),3,3.15,43,60,25,43,24
Bayonetta,Ftilt 2 (Hitbox 2),3,3.15,75,58,25,75,24
Bayonetta,Ftilt 3,8.5,8.925,81,70,60,81,33
Bayonetta,Utilt (Hit 1) (Hitbox 1),5,5.25,110,80,40,110,34
Bayonetta,Utilt (Hit 1) (Hitbox 2),5,5.25,68,80,40,68,34
Bayonetta,"Utilt (Hit 1, Late)",2,2.1,128,65,27,128,27
Bayonetta,Utilt (Hit 2),6,6.3,93,60,60,93,28
Bayonetta,Dtilt (Hitbox 1),6,6.3,85,70,50,85,31
Bayonetta,Dtilt (Hitbox 2),7,7.35,78,70,50,78,31
Bayonetta,Fsmash (Hitbox 1),16,16.8,361,26,102,11.63112547,26
Bayonetta,Fsmash (Hitbox 2),14,14.7,361,26,102,4.075918944,24
Bayonetta,Usmash (Early),17,17.85,86,32,90,86,27
Bayonetta,Usmash,16,16.8,86,32,90,86,26
Bayonetta,Usmash (Late),15,15.75,86,32,90,86,25
Bayonetta,Dsmash (Hit 1),5,5.25,0,20,100,0,12
Bayonetta,Dsmash (Hit 2) (Hitbox 1),16,16.8,72,10,90,72,17
Bayonetta,Dsmash (Hit 2) (Hitbox 2),16,16.8,270,10,80,270,16
Bayonetta,"Dsmash (Hit 2, Late) (Hitbox 1)",15,15.75,72,10,90,72,16
Bayonetta,"Dsmash (Hit 2, Late) (Hitbox 2)",15,15.75,270,10,90,270,16
Bayonetta,Fthrow,3,3.15,49,60,150,49,36
Bayonetta,Bthrow,6,6.3,45,80,60,45,36
Bayonetta,Uthrow,4.5,4.725,84,60,88,84,30
Bayonetta,Dthrow,5,5.25,78,26,136,78,21
Bayonetta,Nair,8,8.4,361,40,100,6.382857143,24
Bayonetta,Nair (Late),6,6.3,361,40,90,0,22
Bayonetta,Nair (Bullet Artes Extension),4.5,4.725,361,50,100,14.80155377,27
Bayonetta,Fair 1 (Hitbox 1),3,3.15,50,80,10,50,31
Bayonetta,Fair 1 (Hitbox 2),3,3.15,26,70,10,26,27
Bayonetta,Fair 1 (Hitbox 3),3,3.15,70,65,10,70,25
Bayonetta,Fair 2 (Hitbox 1),2.2,2.31,50,68,10,50,26
Bayonetta,Fair 2 (Hitbox 2),2.2,2.31,28,64,10,28,25
Bayonetta,Fair 2 (Hitbox 3),2.2,2.31,70,63,10,70,24
Bayonetta,Fair 3,6,6.3,44,60,68,44,28
Bayonetta,Bair (Hitbox 1),13,13.65,361,12,106,0,18
Bayonetta,Bair (Hitbox 2),10,10.5,361,12,106,0,15
Bayonetta,Uair,9,9.45,75,40,90,75,24
Bayonetta,Uair (Bullet Artes Extension),4,4.2,48,75,80,48,35
Bayonetta,Dair (Hitbox 1),7,7.35,70,30,120,70,22
Bayonetta,Dair (Hitbox 2),8,8.4,270,80,50,270,35
Bayonetta,Dair (Hitbox 3),9,9.45,270,80,50,270,36
Bayonetta,Dair (Late) (Hitbox 1),8,8.4,270,80,50,270,35
Bayonetta,Dair (Late) (Hitbox 2),9,9.45,270,80,50,270,36
Bayonetta,Dair (Landing),5,5.25,45,80,135,45,42
Bayonetta,Bullet Climax,1.35,1.4175,0,0,45,0,2
Bayonetta,Bullet Climax (Charged),2.7,2.835,50,20,150,50,18
Bayonetta,"No Kick Heel Slide (Hit 1, Early)",9,9.45,47,92,18,47,37
Bayonetta,No Kick Heel Slide (Hit 1),8.5,8.925,55,85,18,55,34
Bayonetta,"No Kick Heel Slide (Hit 1, Late)",8,8.4,76,80,18,76,32
Bayonetta,"Heel Slide (Hit 1, Early)",9,9.45,47,92,18,47,37
Bayonetta,Heel Slide (Hit 1),8.5,8.925,55,85,18,55,34
Bayonetta,"Heel Slide (Hit 1, Late)",8,8.4,76,80,18,76,32
Bayonetta,"Heel Slide (Hit 1, Latest)",8,8.4,80,60,40,80,26
Bayonetta,Heel Slide (Hit 2) (Hitbox 1),6,6.3,98,66,60,98,30
Bayonetta,Heel Slide (Hit 2) (Hitbox 2),6,6.3,98,66,60,98,30
Bayonetta,Heel Slide (Hit 2) (Hitbox 3),6,6.3,90,66,60,90,30
Bayonetta,After Burner Kick (Early) (Hitbox 1),6,6.3,60,65,50,60,29
Bayonetta,After Burner Kick (Early) (Hitbox 2),6,6.3,48,60,50,48,27
Bayonetta,After Burner Kick (Hitbox 1),7,7.35,80,60,38,80,26
Bayonetta,After Burner Kick (Hitbox 2),7,7.35,80,40,38,80,18
Bayonetta,After Burner Kick (Late) (Hitbox 1),6,6.3,100,98,112,100,41
Bayonetta,After Burner Kick (Late) (Hitbox 2),6,6.3,100,70,112,100,31
Bayonetta,After Burner Kick (Down),6.5,6.825,60,85,38,60,36
Bayonetta,"After Burner Kick (Down, Landing)",5,5.25,49,80,50,49,35
Bayonetta,Witch Twist (Grounded) (Hitbox 1),3,3.15,90,140,100,90,49
Bayonetta,Witch Twist (Grounded) (Hitbox 2),3,3.15,103,150,100,103,52
Bayonetta,Witch Twist (Aerial) (Hitbox 1),2,2.1,90,140,100,90,49
Bayonetta,Witch Twist (Aerial) (Hitbox 2),2,2.1,103,150,100,103,52
Bayonetta,Witch Twist (Middle Hits) (Hitbox 1),0.2,0.21,97,140,100,97,49
Bayonetta,Witch Twist (Middle Hits) (Hitbox 2),0.2,0.21,97,80,100,97,31
Bayonetta,Witch Twist (Middle Hits) (Hitbox 1),0.2,0.21,100,75,100,100,29
Bayonetta,Witch Twist (Middle Hits) (Hitbox 2),0.2,0.21,100,30,100,100,15
Bayonetta,Witch Twist (Middle Hits) (Hitbox 1),0.2,0.21,366,70,100,366,28
Bayonetta,Witch Twist (Middle Hits) (Hitbox 2),0.2,0.21,366,135,100,366,47
Bayonetta,"Witch Twist (Final Hit, 1st Use)",3,3.15,34,55,80,34,27
Bayonetta,"Witch Twist (Final Hit, 2nd Use)",3,3.15,0,30,50,0,14
Bowser,Jab 1 (Hitbox 1),5,5.25,30,45,100,30,20
Bowser,Jab 1 (Hitbox 2),5,5.25,50,30,100,50,15
Bowser,Jab 1 (Hitbox 3),5,5.25,85,18,100,85,12
Bowser,Jab 2,6.5,6.825,361,50,100,17.80660811,27
Bowser,Dash Attack,12,12.6,80,110,35,80,47
Bowser,Dash Attack (Late),10,10.5,80,80,30,80,34
Bowser,Ftilt (All Angles),12,12.6,361,45,83,16.03324658,27
Bowser,Utilt,9,9.45,100,55,97,100,31
Bowser,Dtilt (Hit 1),14,14.7,361,20,100,0,21
Bowser,Dtilt (Hit 2),11,11.55,361,12,100,0,15
Bowser,Fsmash (Hitbox 1),23,24.15,361,25,98,40,34
Bowser,Fsmash (Hitbox 2),20,21,361,25,98,25.08413043,30
Bowser,Fsmash (Late) (Hitbox 1),17,17.85,361,10,103,0,21
Bowser,Fsmash (Late) (Hitbox 2),14,14.7,361,10,103,0,17
